textbox14,textbox79,textbox83,textbox81,textbox48
"Quarter 4 (10/01/2016-12/31/2016), Quarter 3 (07/01/2016-09/30/2016), Quarter 2 (04/01/2016-06/30/2016), Quarter 1 (01/01/2016-03/31/2016)",All,All,All,8/1/2023 9:26:51 AM

textbox7,POLICY_TYPE_NM,PIF_TOT,CAN_TOT,NONR_TOT,CHURR_TOT,NRHURR_TOT,NEW_TOT,textbox1,textbox3,PREM_TOT,textbox4,textbox5,textbox6,PEXW_TOT,textbox9,textbox10,CLAIMS_OPENED_TOT,CLAIMS_CLOSED_TOT,CLAIMS_PENDING_TOT,CLAIMS_ADR_TOT,CLAIMS_MED_TOT,CLAIMS_ARB_TOT,CLAIMS_APP_TOT,CLAIMS_SINK_TOT,CLAIMS_SETTL_TOT,CLAIMS_OTH_TOT,textbox63,textbox64,textbox65,textbox66,textbox67,textbox68,textbox69,textbox70,textbox71,textbox72,textbox73,textbox74,textbox75,textbox76,textbox77,CLAIMS_OPENED_TOT1,CLAIMS_CLOSED_TOT1,CLAIMS_PENDING_TOT1,CLAIMS_ADR_TOT1,CLAIMS_MED_TOT1,CLAIMS_ARB_TOT1,CLAIMS_APP_TOT1,CLAIMS_SINK_TOT1,CLAIMS_SETTL_TOT1,CLAIMS_OTH_TOT1
Period Ending  3/31/2016,Commercial Residential - (Apartment Buildings) - WIND ONLY,"2,790",67,160,0,0,84,0,"3,088,012,662","22,647,892","2,790",0,"22,647,892",0,59,86,,,,,,,,,,,"6,013,626","222,614","83,387",18,169,"322,371","329,574","1,979,109,820,534","10,142,719,207","5,684,052","158,096,490,666","9,750,585,056","392,134,151","59,837","57,963",,,,,,,,,,
Period Ending  3/31/2016,Commercial Residential - (Condo Associations Only) - WIND ONLY,"4,079",89,456,0,0,76,0,"18,892,152,647","86,187,025","4,079",0,"86,187,025",0,114,116,,,,,,,,,,,"6,013,626","222,614","83,387",18,169,"322,371","329,574","1,979,109,820,534","10,142,719,207","5,684,052","158,096,490,666","9,750,585,056","392,134,151","59,837","57,963",,,,,,,,,,
Period Ending  3/31/2016,Commercial Residential - (Homeowners Association) - WIND ONLY,227,8,42,0,0,6,0,"801,448,240","3,492,365",227,0,"3,492,365",0,9,17,,,,,,,,,,,"6,013,626","222,614","83,387",18,169,"322,371","329,574","1,979,109,820,534","10,142,719,207","5,684,052","158,096,490,666","9,750,585,056","392,134,151","59,837","57,963",,,,,,,,,,
Period Ending  3/31/2016,Commercial Residential - Allied Lines (Condo Associations Only),"4,807",23,250,0,0,336,0,"55,338,496,870","318,192,420","4,807",0,"318,192,420",0,3,0,,,,,,,,,,,"6,013,626","222,614","83,387",18,169,"322,371","329,574","1,979,109,820,534","10,142,719,207","5,684,052","158,096,490,666","9,750,585,056","392,134,151","59,837","57,963",,,,,,,,,,
Period Ending  3/31/2016,Commercial Residential - Allied Lines (Excl Condo Associations),840,5,29,0,0,19,4,"7,760,786,168","18,292,604",836,"1,765,478,569","18,288,191","4,413",14,1,,,,,,,,,,,"6,013,626","222,614","83,387",18,169,"322,371","329,574","1,979,109,820,534","10,142,719,207","5,684,052","158,096,490,666","9,750,585,056","392,134,151","59,837","57,963",,,,,,,,,,
Period Ending  3/31/2016,Commercial Residential - CMP (Condo Associations Only),"4,462",283,151,0,0,427,"1,223","40,369,468,499","141,797,025","3,239","6,079,484,507","133,770,540","8,026,484",0,67,,,,,,,,,,,"6,013,626","222,614","83,387",18,169,"322,371","329,574","1,979,109,820,534","10,142,719,207","5,684,052","158,096,490,666","9,750,585,056","392,134,151","59,837","57,963",,,,,,,,,,
Period Ending  3/31/2016,Commercial Residential - CMP (Excl Condo Associations),"7,491",252,75,0,0,"1,192",936,"5,159,215,307","31,852,046","6,555","735,742,393","28,757,792","3,094,254",62,40,,,,,,,,,,,"6,013,626","222,614","83,387",18,169,"322,371","329,574","1,979,109,820,534","10,142,719,207","5,684,052","158,096,490,666","9,750,585,056","392,134,151","59,837","57,963",,,,,,,,,,
Period Ending  3/31/2016,Commercial Residential - Dwelling/Fire (Condo Associations Only),"4,790",199,122,0,0,356,119,"35,199,257,389","165,632,837","4,671","288,636,134","165,041,650","591,187",145,165,,,,,,,,,,,"6,013,626","222,614","83,387",18,169,"322,371","329,574","1,979,109,820,534","10,142,719,207","5,684,052","158,096,490,666","9,750,585,056","392,134,151","59,837","57,963",,,,,,,,,,
Period Ending  3/31/2016,Commercial Residential - Dwelling/Fire (Excl Condo Associations),"1,374",37,79,0,0,34,120,"5,880,694,843","23,164,360","1,254","241,094,582","22,758,729","405,631",174,144,,,,,,,,,,,"6,013,626","222,614","83,387",18,169,"322,371","329,574","1,979,109,820,534","10,142,719,207","5,684,052","158,096,490,666","9,750,585,056","392,134,151","59,837","57,963",,,,,,,,,,
Period Ending  3/31/2016,Personal Residential - Allied Lines,"53,771","1,713","1,187",0,0,"3,856","2,324","8,657,653,708","79,712,534","51,447","2,993,337,853","70,465,494","9,247,040",0,0,,,,,,,,,,,"6,013,626","222,614","83,387",18,169,"322,371","329,574","1,979,109,820,534","10,142,719,207","5,684,052","158,096,490,666","9,750,585,056","392,134,151","59,837","57,963",,,,,,,,,,
Period Ending  3/31/2016,Personal Residential - Allied Lines - WIND ONLY DWELLINGS,"18,613",526,524,0,0,495,0,"6,416,506,038","40,465,891","18,613",0,"40,465,891",0,"1,672",548,,,,,,,,,,,"6,013,626","222,614","83,387",18,169,"322,371","329,574","1,979,109,820,534","10,142,719,207","5,684,052","158,096,490,666","9,750,585,056","392,134,151","59,837","57,963",,,,,,,,,,
Period Ending  3/31/2016,Personal Residential - Condominium Unit Owners,"798,498","21,874","13,153",0,14,"40,205","97,895","78,259,645,970","738,822,137","700,603","18,582,863,113","665,346,566","73,475,570","6,316","6,643",,,,,,,,,,,"6,013,626","222,614","83,387",18,169,"322,371","329,574","1,979,109,820,534","10,142,719,207","5,684,052","158,096,490,666","9,750,585,056","392,134,151","59,837","57,963",,,,,,,,,,
Period Ending  3/31/2016,Personal Residential - Condominium Unit Owners - WIND ONLY,"50,659",710,"1,125",0,0,"1,016",0,"7,758,268,520","46,097,749","50,659",0,"46,097,749",0,"3,599","3,179",,,,,,,,,,,"6,013,626","222,614","83,387",18,169,"322,371","329,574","1,979,109,820,534","10,142,719,207","5,684,052","158,096,490,666","9,750,585,056","392,134,151","59,837","57,963",,,,,,,,,,
Period Ending  3/31/2016,Personal Residential - Dwelling/Fire,"756,318","26,425","11,796",1,18,"37,075","50,194","156,337,599,882","938,422,579","706,124","13,646,036,454","895,974,549","42,448,030","15,199","14,627",,,,,,,,,,,"6,013,626","222,614","83,387",18,169,"322,371","329,574","1,979,109,820,534","10,142,719,207","5,684,052","158,096,490,666","9,750,585,056","392,134,151","59,837","57,963",,,,,,,,,,
Period Ending  3/31/2016,Personal Residential - Dwelling/Fire - Mobile Homeowners,"83,312","1,972","1,663",0,0,"3,063","5,581","3,574,254,042","44,150,904","77,731","230,998,522","42,941,646","1,209,258",355,336,,,,,,,,,,,"6,013,626","222,614","83,387",18,169,"322,371","329,574","1,979,109,820,534","10,142,719,207","5,684,052","158,096,490,666","9,750,585,056","392,134,151","59,837","57,963",,,,,,,,,,
Period Ending  3/31/2016,Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY,420,12,26,0,0,7,0,"12,562,020","315,742",420,0,"315,742",0,0,0,,,,,,,,,,,"6,013,626","222,614","83,387",18,169,"322,371","329,574","1,979,109,820,534","10,142,719,207","5,684,052","158,096,490,666","9,750,585,056","392,134,151","59,837","57,963",,,,,,,,,,
Period Ending  3/31/2016,Personal Residential - Farmowners,"2,641",32,17,0,0,55,9,"1,393,438,497","10,267,756","2,632","8,872,905","10,211,834","55,922",33,33,,,,,,,,,,,"6,013,626","222,614","83,387",18,169,"322,371","329,574","1,979,109,820,534","10,142,719,207","5,684,052","158,096,490,666","9,750,585,056","392,134,151","59,837","57,963",,,,,,,,,,
Period Ending  3/31/2016,Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied,"3,298,007","85,984","40,503",1,133,"142,645","148,303","1,450,783,960,884","6,724,202,293","3,149,704","112,003,467,329","6,477,807,155","246,395,138","24,125","24,601",,,,,,,,,,,"6,013,626","222,614","83,387",18,169,"322,371","329,574","1,979,109,820,534","10,142,719,207","5,684,052","158,096,490,666","9,750,585,056","392,134,151","59,837","57,963",,,,,,,,,,
Period Ending  3/31/2016,Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied - WIND ONLY,"121,820","2,234","2,498",0,0,"1,696",0,"57,366,659,699","325,538,652","121,820",0,"325,538,652",0,"5,562","5,076",,,,,,,,,,,"6,013,626","222,614","83,387",18,169,"322,371","329,574","1,979,109,820,534","10,142,719,207","5,684,052","158,096,490,666","9,750,585,056","392,134,151","59,837","57,963",,,,,,,,,,
