textbox14,textbox79,textbox83,textbox81,textbox48
"Quarter 4 (10/01/2020-12/31/2020), Quarter 3 (07/01/2020-09/30/2020), Quarter 2 (04/01/2020-06/30/2020), Quarter 1 (01/01/2020-03/31/2020)",All,All,All,7/28/2023 2:40:52 PM

textbox7,POLICY_TYPE_NM,PIF_TOT,CAN_TOT,NONR_TOT,CHURR_TOT,NRHURR_TOT,NEW_TOT,textbox1,textbox3,PREM_TOT,textbox4,textbox5,textbox6,PEXW_TOT,textbox9,textbox10,CLAIMS_OPENED_TOT,CLAIMS_CLOSED_TOT,CLAIMS_PENDING_TOT,CLAIMS_ADR_TOT,CLAIMS_MED_TOT,CLAIMS_ARB_TOT,CLAIMS_APP_TOT,CLAIMS_SINK_TOT,CLAIMS_SETTL_TOT,CLAIMS_OTH_TOT,textbox63,textbox64,textbox65,textbox66,textbox67,textbox68,textbox69,textbox70,textbox71,textbox72,textbox73,textbox74,textbox75,textbox76,textbox77,CLAIMS_OPENED_TOT1,CLAIMS_CLOSED_TOT1,CLAIMS_PENDING_TOT1,CLAIMS_ADR_TOT1,CLAIMS_MED_TOT1,CLAIMS_ARB_TOT1,CLAIMS_APP_TOT1,CLAIMS_SINK_TOT1,CLAIMS_SETTL_TOT1,CLAIMS_OTH_TOT1
Period Ending  3/31/2020,Commercial Residential - (Apartment Buildings) - WIND ONLY,908,35,6,0,0,9,0,"884,365,400","7,108,525",908,0,"7,108,525",0,0,0,,,,,,,,,,,"3,883,550","192,368","48,912",0,559,"270,730","203,552","1,221,097,049,800","6,579,887,507","3,679,998","112,345,345,509","6,296,719,723","283,167,784","8,076","7,242",,,,,,,,,,
Period Ending  3/31/2020,Commercial Residential - (Condo Associations Only) - WIND ONLY,"1,499",23,18,0,0,18,0,"4,696,692,508","24,437,671","1,499",0,"24,437,671",0,0,0,,,,,,,,,,,"3,883,550","192,368","48,912",0,559,"270,730","203,552","1,221,097,049,800","6,579,887,507","3,679,998","112,345,345,509","6,296,719,723","283,167,784","8,076","7,242",,,,,,,,,,
Period Ending  3/31/2020,Commercial Residential - (Homeowners Association) - WIND ONLY,180,5,3,0,0,2,0,"400,979,205","2,036,467",180,0,"2,036,467",0,0,0,,,,,,,,,,,"3,883,550","192,368","48,912",0,559,"270,730","203,552","1,221,097,049,800","6,579,887,507","3,679,998","112,345,345,509","6,296,719,723","283,167,784","8,076","7,242",,,,,,,,,,
Period Ending  3/31/2020,Commercial Residential - Allied Lines (Condo Associations Only),886,0,22,0,0,29,0,"5,805,876,083","189,685,867",886,0,"189,685,867",0,0,0,,,,,,,,,,,"3,883,550","192,368","48,912",0,559,"270,730","203,552","1,221,097,049,800","6,579,887,507","3,679,998","112,345,345,509","6,296,719,723","283,167,784","8,076","7,242",,,,,,,,,,
Period Ending  3/31/2020,Commercial Residential - Allied Lines (Excl Condo Associations),170,5,3,0,0,6,2,"438,137,006","1,727,458",168,"530,874","1,726,308","1,150",0,1,,,,,,,,,,,"3,883,550","192,368","48,912",0,559,"270,730","203,552","1,221,097,049,800","6,579,887,507","3,679,998","112,345,345,509","6,296,719,723","283,167,784","8,076","7,242",,,,,,,,,,
Period Ending  3/31/2020,Commercial Residential - CMP (Condo Associations Only),"1,451",56,42,0,0,116,474,"21,457,392,204","90,457,411",977,"2,094,404,348","87,528,581","2,928,830",5,0,,,,,,,,,,,"3,883,550","192,368","48,912",0,559,"270,730","203,552","1,221,097,049,800","6,579,887,507","3,679,998","112,345,345,509","6,296,719,723","283,167,784","8,076","7,242",,,,,,,,,,
Period Ending  3/31/2020,Commercial Residential - CMP (Excl Condo Associations),"9,009",290,66,0,0,644,632,"2,363,217,672","20,216,785","8,377","332,133,946","18,076,582","2,140,203",5,2,,,,,,,,,,,"3,883,550","192,368","48,912",0,559,"270,730","203,552","1,221,097,049,800","6,579,887,507","3,679,998","112,345,345,509","6,296,719,723","283,167,784","8,076","7,242",,,,,,,,,,
Period Ending  3/31/2020,Commercial Residential - Dwelling/Fire (Condo Associations Only),"2,127",113,6,0,0,71,6,"27,420,447,633","74,169,109","2,121","17,640,494","74,147,746","21,363",0,0,,,,,,,,,,,"3,883,550","192,368","48,912",0,559,"270,730","203,552","1,221,097,049,800","6,579,887,507","3,679,998","112,345,345,509","6,296,719,723","283,167,784","8,076","7,242",,,,,,,,,,
Period Ending  3/31/2020,Commercial Residential - Dwelling/Fire (Excl Condo Associations),957,37,13,0,0,29,25,"10,537,946,970","160,134,719",932,"44,923,243","160,044,366","90,353",5,0,,,,,,,,,,,"3,883,550","192,368","48,912",0,559,"270,730","203,552","1,221,097,049,800","6,579,887,507","3,679,998","112,345,345,509","6,296,719,723","283,167,784","8,076","7,242",,,,,,,,,,
Period Ending  3/31/2020,Personal Residential - Allied Lines,"60,343","2,389","1,215",0,0,"4,387","13,537","8,317,895,690","104,639,442","46,806","7,499,730,808","76,986,717","27,652,725",0,0,,,,,,,,,,,"3,883,550","192,368","48,912",0,559,"270,730","203,552","1,221,097,049,800","6,579,887,507","3,679,998","112,345,345,509","6,296,719,723","283,167,784","8,076","7,242",,,,,,,,,,
