textbox14,textbox79,textbox83,textbox81,textbox48
Quarter 1 (01/01/2023-03/31/2023),All,All,All,7/28/2023 2:45:24 PM

textbox7,POLICY_TYPE_NM,PIF_TOT,CAN_TOT,NONR_TOT,CHURR_TOT,NRHURR_TOT,NEW_TOT,textbox1,textbox3,PREM_TOT,textbox4,textbox5,textbox6,PEXW_TOT,textbox9,textbox10,CLAIMS_OPENED_TOT,CLAIMS_CLOSED_TOT,CLAIMS_PENDING_TOT,CLAIMS_ADR_TOT,CLAIMS_MED_TOT,CLAIMS_ARB_TOT,CLAIMS_APP_TOT,CLAIMS_SINK_TOT,CLAIMS_SETTL_TOT,CLAIMS_OTH_TOT,textbox63,textbox64,textbox65,textbox66,textbox67,textbox68,textbox69,textbox70,textbox71,textbox72,textbox73,textbox74,textbox75,textbox76,textbox77,CLAIMS_OPENED_TOT1,CLAIMS_CLOSED_TOT1,CLAIMS_PENDING_TOT1,CLAIMS_ADR_TOT1,CLAIMS_MED_TOT1,CLAIMS_ARB_TOT1,CLAIMS_APP_TOT1,CLAIMS_SINK_TOT1,CLAIMS_SETTL_TOT1,CLAIMS_OTH_TOT1
Period Ending  3/31/2023,Commercial Residential - (Apartment Buildings) - WIND ONLY,502,14,0,0,0,47,0,"915,858,360","8,353,109",502,0,"8,353,109",0,0,0,6,7,43,0,0,0,0,0,0,0,"2,705,518","200,920","10,634",1,30,"264,144","73,578","890,851,576,710","5,796,366,711","2,631,940","48,010,175,659","5,661,335,458","135,031,252",108,29,65165,69491,129151,6150,603,1,4679,4,12,900
Period Ending  3/31/2023,Commercial Residential - (Condo Associations Only) - WIND ONLY,"1,821",27,1,0,0,323,0,"19,714,531,905","165,168,661","1,821",0,"165,168,661",0,0,0,31,30,195,0,0,0,0,0,0,0,"2,705,518","200,920","10,634",1,30,"264,144","73,578","890,851,576,710","5,796,366,711","2,631,940","48,010,175,659","5,661,335,458","135,031,252",108,29,65165,69491,129151,6150,603,1,4679,4,12,900
Period Ending  3/31/2023,Commercial Residential - (Homeowners Association) - WIND ONLY,68,0,0,0,0,9,0,"624,670,315","3,658,633",68,0,"3,658,633",0,0,0,2,1,2,0,0,0,0,0,0,0,"2,705,518","200,920","10,634",1,30,"264,144","73,578","890,851,576,710","5,796,366,711","2,631,940","48,010,175,659","5,661,335,458","135,031,252",108,29,65165,69491,129151,6150,603,1,4679,4,12,900
Period Ending  3/31/2023,Commercial Residential - Allied Lines (Condo Associations Only),159,5,3,0,0,28,3,"2,427,816,909","17,454,984",156,"48,441,790","17,129,909","325,075",0,0,1,1,76,0,0,0,0,0,0,0,"2,705,518","200,920","10,634",1,30,"264,144","73,578","890,851,576,710","5,796,366,711","2,631,940","48,010,175,659","5,661,335,458","135,031,252",108,29,65165,69491,129151,6150,603,1,4679,4,12,900
Period Ending  3/31/2023,Commercial Residential - Allied Lines (Excl Condo Associations),244,7,"1,150",0,0,"1,172",1,"843,542,823","7,580,485",243,"9,719,400","7,525,658","54,827",1,0,5,6,5,0,0,0,0,0,0,0,"2,705,518","200,920","10,634",1,30,"264,144","73,578","890,851,576,710","5,796,366,711","2,631,940","48,010,175,659","5,661,335,458","135,031,252",108,29,65165,69491,129151,6150,603,1,4679,4,12,900
Period Ending  3/31/2023,Commercial Residential - CMP (Condo Associations Only),670,54,9,0,0,35,276,"25,020,565,454","145,100,622",394,"3,052,442,172","139,703,816","5,396,806",0,0,170,282,296,0,0,0,0,0,0,0,"2,705,518","200,920","10,634",1,30,"264,144","73,578","890,851,576,710","5,796,366,711","2,631,940","48,010,175,659","5,661,335,458","135,031,252",108,29,65165,69491,129151,6150,603,1,4679,4,12,900
Period Ending  3/31/2023,Commercial Residential - CMP (Excl Condo Associations),"7,956",289,24,0,0,26,681,"1,348,376,169","17,883,234","7,275","392,342,170","13,034,849","4,848,385",3,1,83,98,224,0,0,0,0,0,0,0,"2,705,518","200,920","10,634",1,30,"264,144","73,578","890,851,576,710","5,796,366,711","2,631,940","48,010,175,659","5,661,335,458","135,031,252",108,29,65165,69491,129151,6150,603,1,4679,4,12,900
Period Ending  3/31/2023,Commercial Residential - Dwelling/Fire (Condo Associations Only),929,39,1,0,0,232,56,"17,717,553,611","79,538,096",873,"867,101,300","77,505,798","2,032,298",0,0,23,27,457,0,0,0,0,0,0,0,"2,705,518","200,920","10,634",1,30,"264,144","73,578","890,851,576,710","5,796,366,711","2,631,940","48,010,175,659","5,661,335,458","135,031,252",108,29,65165,69491,129151,6150,603,1,4679,4,12,900
Period Ending  3/31/2023,Commercial Residential - Dwelling/Fire (Excl Condo Associations),447,7,11,0,0,93,35,"5,856,186,311","23,573,020",412,"122,192,287","23,291,334","281,686",0,0,11,6,144,0,0,0,0,0,0,0,"2,705,518","200,920","10,634",1,30,"264,144","73,578","890,851,576,710","5,796,366,711","2,631,940","48,010,175,659","5,661,335,458","135,031,252",108,29,65165,69491,129151,6150,603,1,4679,4,12,900
Period Ending  3/31/2023,Personal Residential - Allied Lines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,705,518","200,920","10,634",1,30,"264,144","73,578","890,851,576,710","5,796,366,711","2,631,940","48,010,175,659","5,661,335,458","135,031,252",108,29,65165,69491,129151,6150,603,1,4679,4,12,900
Period Ending  3/31/2023,Personal Residential - Allied Lines - WIND ONLY DWELLINGS,"11,541",430,24,0,0,809,0,"5,446,083,998","42,531,912","11,541",0,"42,531,912",0,0,0,551,516,892,113,5,0,90,0,0,18,"2,705,518","200,920","10,634",1,30,"264,144","73,578","890,851,576,710","5,796,366,711","2,631,940","48,010,175,659","5,661,335,458","135,031,252",108,29,65165,69491,129151,6150,603,1,4679,4,12,900
Period Ending  3/31/2023,Personal Residential - Condominium Unit Owners,"272,712","10,853","1,294",0,5,"12,496","14,780","37,527,786,977","423,834,388","257,932","3,800,035,609","404,078,417","19,755,972",3,4,12367,12633,12221,92,12,0,61,0,0,19,"2,705,518","200,920","10,634",1,30,"264,144","73,578","890,851,576,710","5,796,366,711","2,631,940","48,010,175,659","5,661,335,458","135,031,252",108,29,65165,69491,129151,6150,603,1,4679,4,12,900
Period Ending  3/31/2023,Personal Residential - Condominium Unit Owners - WIND ONLY,"18,322",550,0,0,0,938,0,"3,169,920,649","24,535,348","18,322",0,"24,535,348",0,0,0,1155,1257,742,62,7,0,25,0,0,30,"2,705,518","200,920","10,634",1,30,"264,144","73,578","890,851,576,710","5,796,366,711","2,631,940","48,010,175,659","5,661,335,458","135,031,252",108,29,65165,69491,129151,6150,603,1,4679,4,12,900
Period Ending  3/31/2023,Personal Residential - Dwelling/Fire,"270,759","9,549",992,0,0,"25,809","11,087","67,265,182,780","510,082,696","259,672","2,998,524,404","498,193,658","11,889,038",0,0,145,126,395,1040,83,0,822,2,0,133,"2,705,518","200,920","10,634",1,30,"264,144","73,578","890,851,576,710","5,796,366,711","2,631,940","48,010,175,659","5,661,335,458","135,031,252",108,29,65165,69491,129151,6150,603,1,4679,4,12,900
Period Ending  3/31/2023,Personal Residential - Dwelling/Fire - Mobile Homeowners,"21,920",909,106,0,0,749,"1,005","1,009,437,345","17,066,283","20,915","48,217,202","16,908,975","157,308",0,0,0,0,0,25,4,0,20,0,0,1,"2,705,518","200,920","10,634",1,30,"264,144","73,578","890,851,576,710","5,796,366,711","2,631,940","48,010,175,659","5,661,335,458","135,031,252",108,29,65165,69491,129151,6150,603,1,4679,4,12,900
Period Ending  3/31/2023,Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY,181,10,0,0,0,3,0,"8,105,790","417,546",181,0,"417,546",0,0,0,14,19,14,0,0,0,0,0,0,0,"2,705,518","200,920","10,634",1,30,"264,144","73,578","890,851,576,710","5,796,366,711","2,631,940","48,010,175,659","5,661,335,458","135,031,252",108,29,65165,69491,129151,6150,603,1,4679,4,12,900
Period Ending  3/31/2023,Personal Residential - Excess Private Flood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,705,518","200,920","10,634",1,30,"264,144","73,578","890,851,576,710","5,796,366,711","2,631,940","48,010,175,659","5,661,335,458","135,031,252",108,29,65165,69491,129151,6150,603,1,4679,4,12,900
Period Ending  3/31/2023,Personal Residential - Farmowners,"1,463",33,3,0,0,35,15,"1,129,242,383","5,983,327","1,448","17,543,000","5,922,133","61,194",5,5,0,0,0,0,0,0,0,0,0,0,"2,705,518","200,920","10,634",1,30,"264,144","73,578","890,851,576,710","5,796,366,711","2,631,940","48,010,175,659","5,661,335,458","135,031,252",108,29,65165,69491,129151,6150,603,1,4679,4,12,900
Period Ending  3/31/2023,Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied,"1,158,215","34,148","3,195",1,25,"99,867","28,052","633,665,102,794","3,759,236,693","1,130,163","34,582,350,472","3,672,901,064","86,335,629",94,19,37688,40032,101510,4413,464,1,3345,2,12,638,"2,705,518","200,920","10,634",1,30,"264,144","73,578","890,851,576,710","5,796,366,711","2,631,940","48,010,175,659","5,661,335,458","135,031,252",108,29,65165,69491,129151,6150,603,1,4679,4,12,900
Period Ending  3/31/2023,Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied - WIND ONLY,"57,078","1,549",151,0,0,"2,836",0,"33,029,842,095","204,589,036","57,078",0,"204,589,036",0,0,0,1828,1916,3327,292,14,0,232,0,0,46,"2,705,518","200,920","10,634",1,30,"264,144","73,578","890,851,576,710","5,796,366,711","2,631,940","48,010,175,659","5,661,335,458","135,031,252",108,29,65165,69491,129151,6150,603,1,4679,4,12,900
